customer_id,longitude,latitude,store100_valuation,store200_valuation,store300_valuation,store400_valuation,store500_valuation,store600_valuation,store700_valuation,store800_valuation,store900_valuation,store1000_valuation,store1100_valuation,store1200_valuation,store1300_valuation,store1400_valuation,store1500_valuation,store1600_valuation,store1700_valuation,store1800_valuation,store1900_valuation,store2000_valuation,store2100_valuation,store2200_valuation,store2300_valuation,store2400_valuation,store2500_valuation,store2600_valuation,store2700_valuation,store2800_valuation,store2900_valuation,store3000_valuation
28,30.9253,30.0694,2.2,2.5,1.6,3.1,3.3,4.2,1.7,1.3,4.5,3.5,2.0,4.7,1.6,2.8,2.0,2.0,1.0,4.2,4.6,3.7,1.6,2.8,2.4,3.4,3.6,2.7,2.0,4.4,1.8,2.5
29,31.1658,29.9856,3.3,3.3,5.0,2.2,4.9,3.6,2.1,3.3,3.7,4.0,1.2,3.4,3.0,4.6,2.1,4.2,3.4,2.4,3.5,3.5,3.7,3.9,3.6,4.4,3.5,4.6,3.6,2.2,2.8,3.3
30,31.3028,29.9635,2.2,4.0,1.7,1.5,3.2,4.9,3.1,4.7,4.3,2.0,4.3,2.9,4.2,4.0,2.4,1.5,4.9,1.6,4.9,4.4,3.9,4.9,4.9,4.2,2.5,4.2,1.1,3.1,2.8,3.7
31,31.2698,30.0377,4.3,4.8,1.4,1.9,1.1,4.5,3.2,4.7,1.9,1.3,4.3,4.6,2.2,2.6,1.6,4.8,2.2,3.0,1.4,4.5,1.5,2.8,3.7,4.0,4.8,2.7,4.0,1.6,2.7,1.4
32,31.1691,30.0112,4.8,1.1,2.5,2.8,4.8,4.4,1.4,3.7,3.2,4.9,2.4,2.6,1.8,1.5,4.4,2.8,3.7,3.6,3.4,1.1,4.1,2.0,1.5,3.3,1.3,4.1,1.8,1.9,4.5,2.3
33,30.9812,30.0851,1.0,4.4,1.6,1.5,2.0,1.7,3.6,1.1,1.1,4.2,2.0,2.3,1.7,1.2,4.0,3.1,4.0,2.9,4.1,3.1,1.4,3.0,4.8,1.2,4.1,4.5,3.1,2.8,4.9,1.2
34,31.1634,30.0102,3.7,3.0,4.6,1.3,1.3,3.4,1.3,2.1,3.5,3.2,2.3,5.0,3.1,2.8,3.4,1.4,3.8,4.4,3.6,4.1,3.9,1.9,2.8,1.9,2.4,2.8,2.7,1.4,2.7,3.7
35,31.1059,29.9729,4.7,1.3,4.3,1.4,1.4,4.0,4.2,3.2,3.3,3.2,2.3,1.5,2.4,3.7,4.0,4.5,3.9,4.9,3.4,2.4,3.3,1.9,3.6,1.9,1.4,4.4,2.5,4.1,3.3,4.2
36,31.3648,30.0962,4.3,3.5,3.6,1.1,4.7,4.3,2.1,1.7,3.8,2.2,2.4,1.0,4.5,3.3,2.6,1.6,3.5,1.1,4.0,1.9,2.7,2.4,2.5,3.9,4.1,3.3,1.3,1.2,1.6,3.5
37,31.2707,29.9908,3.6,2.9,2.8,2.1,4.0,1.5,2.7,2.1,3.7,2.9,3.7,1.2,2.6,3.4,1.0,2.2,1.8,1.5,2.0,2.3,1.0,4.0,1.7,2.5,3.8,3.0,4.3,4.2,1.3,4.4
38,30.9233,29.9528,4.7,4.4,3.3,3.3,3.8,2.7,1.5,1.1,2.3,4.2,3.5,4.3,4.7,1.4,4.4,2.0,3.4,3.1,2.6,2.2,2.4,2.3,1.7,3.0,1.5,3.0,4.6,2.4,3.9,4.3
39,31.3483,29.9854,1.6,1.8,3.4,4.0,3.6,1.7,4.1,3.0,4.0,4.0,2.8,4.7,3.3,3.5,3.5,4.5,3.5,1.6,1.3,2.8,2.2,2.1,1.2,3.0,2.2,2.8,1.2,4.3,1.3,4.5
40,31.3704,30.0423,3.0,2.9,3.2,4.2,4.6,2.8,4.2,3.6,2.3,2.9,1.6,1.2,1.4,4.6,2.4,3.9,3.0,1.7,2.0,2.8,2.8,3.1,1.6,2.5,2.1,2.6,2.4,3.4,4.2,3.6
41,30.9363,29.9642,3.7,2.1,3.9,3.6,4.6,4.5,2.3,3.3,1.6,2.4,4.9,3.8,2.6,3.4,4.8,2.2,2.5,4.2,4.3,3.7,4.3,4.0,3.7,3.1,3.6,2.7,2.4,2.5,1.7,1.9
42,31.4212,30.0229,1.9,1.6,1.3,4.4,1.4,4.1,4.3,4.5,1.2,2.3,4.1,1.5,2.5,1.6,4.3,4.1,4.2,1.7,2.8,2.6,3.7,2.0,2.8,2.1,4.0,2.8,3.1,2.2,4.2,2.9
43,31.3593,30.0052,4.8,4.9,2.8,2.1,2.5,3.1,4.9,4.3,4.2,1.6,2.0,3.6,4.5,3.2,1.4,4.4,4.4,2.1,4.1,2.1,4.6,1.6,2.7,4.8,1.9,2.8,2.4,1.1,1.2,3.0
44,31.0297,30.0992,2.5,1.1,4.7,4.4,3.6,4.2,1.6,2.1,4.3,3.8,1.6,3.8,2.8,1.0,1.3,2.0,4.3,3.2,3.9,3.1,1.4,2.2,2.2,1.2,2.7,4.2,2.8,1.4,4.6,3.4
45,30.909,30.0273,2.0,1.6,2.7,3.5,2.0,2.7,3.7,1.3,4.9,1.3,3.1,3.0,5.0,3.2,2.6,2.9,3.5,4.9,2.0,1.1,4.2,2.4,3.9,3.5,4.1,3.9,2.3,1.2,3.2,4.3
46,30.9963,30.0669,2.9,3.8,3.5,4.2,1.3,4.1,2.8,2.2,1.2,1.8,1.2,4.7,3.1,5.0,3.2,2.0,4.0,1.8,2.4,4.1,4.5,2.3,1.5,2.5,4.6,4.0,4.6,2.5,4.9,3.0
47,31.1736,30.0886,3.1,4.2,3.9,1.3,3.4,4.3,3.2,2.3,1.3,3.6,2.2,3.4,2.7,3.8,2.4,1.2,4.5,2.4,5.0,2.1,4.9,4.8,1.3,3.6,2.5,4.2,3.7,4.8,1.6,3.4
48,31.3297,29.9552,1.3,4.1,2.5,2.5,3.3,3.4,3.7,4.8,2.5,4.1,3.3,3.1,2.6,3.6,2.0,1.5,3.9,3.0,2.5,3.2,2.0,2.0,2.8,5.0,2.1,4.7,3.0,1.5,4.4,2.8
49,31.3943,30.0168,1.4,3.7,4.4,2.3,2.4,1.3,3.2,4.6,4.4,3.8,4.7,3.6,4.2,3.0,1.5,1.8,1.6,4.2,1.1,3.2,2.5,4.2,3.2,3.4,1.3,2.2,5.0,3.9,3.1,4.1
50,31.3528,29.9611,4.9,3.6,2.8,3.7,2.4,4.5,4.1,3.6,1.7,4.9,2.7,4.6,1.2,1.5,1.6,1.7,2.3,3.8,2.4,4.8,4.6,4.4,2.0,3.5,3.2,1.5,2.2,3.1,3.0,1.7
51,31.4179,29.9731,3.6,3.9,3.4,4.4,3.3,4.3,1.1,1.2,3.6,3.3,3.6,4.1,2.7,3.6,3.0,3.5,2.2,4.8,2.9,4.2,3.7,2.2,1.3,1.2,2.8,2.9,1.8,3.4,2.3,3.9
52,31.3038,30.0791,4.9,1.5,2.5,3.2,2.3,2.9,2.1,2.0,1.4,2.2,2.5,3.5,2.0,4.5,1.6,2.3,3.3,2.3,4.1,3.0,3.1,3.0,2.2,1.1,4.8,3.0,4.9,1.9,2.4,1.2
53,31.1722,30.0824,3.6,2.9,3.1,4.4,2.7,4.5,3.9,4.1,2.5,2.6,3.3,1.8,3.2,1.3,3.0,4.1,2.1,5.0,3.7,1.5,4.9,2.6,4.2,2.4,4.8,4.0,1.8,3.0,3.0,1.2
54,30.9754,30.0,2.9,2.8,3.4,3.1,2.3,3.5,1.7,5.0,4.0,2.2,2.3,4.3,3.1,3.8,2.2,4.3,2.5,3.7,4.9,3.3,4.2,3.9,3.8,1.1,2.9,4.9,4.1,4.1,3.3,3.9
55,31.2209,29.9756,3.5,3.5,4.4,1.6,3.7,1.1,4.8,1.4,1.1,2.3,1.6,3.8,2.6,4.1,4.7,4.5,3.9,1.2,1.6,1.8,2.3,3.6,3.1,2.3,1.7,4.6,2.4,2.4,4.1,3.9
56,31.2538,30.054,3.4,1.8,2.0,3.2,1.9,4.9,2.2,2.2,1.8,3.8,2.3,2.4,4.7,4.2,2.1,1.5,3.7,2.5,4.9,4.3,4.8,4.2,2.2,2.2,3.9,2.4,2.8,2.0,2.9,1.8
57,31.1962,30.09,3.8,1.5,3.5,3.3,2.0,3.7,3.1,3.6,1.2,2.7,3.9,1.4,4.1,1.0,3.2,4.7,2.6,4.7,4.5,2.9,1.8,4.9,2.3,3.6,4.6,1.4,3.3,3.1,3.9,4.7
58,31.4023,29.9763,4.5,1.7,4.7,5.0,2.6,3.0,4.7,4.8,4.7,4.5,1.0,3.3,1.4,4.9,2.1,5.0,3.2,3.0,4.8,4.4,2.9,1.8,1.5,1.6,2.8,2.0,1.7,3.9,4.2,3.3
59,31.3165,29.9763,4.4,4.6,4.3,3.1,1.3,3.7,1.7,1.6,2.3,2.0,2.0,1.9,4.0,4.8,2.2,3.9,1.0,3.6,3.8,1.2,1.5,2.2,2.6,3.0,4.6,3.8,2.2,1.5,4.7,2.2
60,31.238,29.9829,1.5,1.6,4.0,3.4,2.7,3.2,2.9,3.2,3.7,1.9,2.0,4.0,4.5,1.3,2.8,3.8,1.3,3.3,1.2,3.2,3.0,3.3,1.6,2.3,3.1,1.5,1.8,3.3,1.4,3.0
61,31.3448,30.018,3.1,2.8,1.2,2.8,4.2,3.9,2.6,4.3,4.0,3.3,1.2,2.4,1.3,5.0,4.7,1.3,4.7,1.1,2.6,4.1,4.1,4.9,3.6,2.7,5.0,2.5,4.5,4.6,2.5,3.7
62,31.264,30.0309,3.6,2.4,1.7,3.1,3.1,3.9,1.9,1.0,1.1,2.2,3.7,3.2,3.1,4.3,2.0,2.4,2.1,4.7,3.9,1.5,4.2,2.7,4.1,4.5,1.1,1.8,1.4,1.1,3.4,3.8
63,30.9268,30.0611,2.6,1.9,1.9,4.5,1.2,3.0,2.2,4.3,3.9,2.3,3.4,3.7,2.3,2.2,1.6,3.6,1.9,2.2,1.2,4.8,4.5,4.6,3.5,2.7,3.0,4.9,4.8,3.7,4.1,2.3
64,31.129,29.9724,2.5,4.0,2.9,4.4,2.2,3.8,4.2,4.7,3.2,4.9,3.2,1.5,2.0,1.8,3.6,4.7,4.4,1.4,3.9,1.8,2.1,3.7,3.4,4.5,1.8,4.0,3.9,3.2,2.9,4.5
65,31.0831,30.0936,1.1,4.7,4.8,1.5,5.0,2.9,2.0,3.4,1.8,4.7,3.2,4.1,2.5,3.1,2.4,2.0,3.1,3.0,1.4,4.9,2.9,4.4,4.7,2.5,2.7,3.3,1.9,1.6,2.0,4.7
66,31.2185,30.0126,1.6,2.3,2.5,4.3,3.0,3.6,3.7,2.0,4.3,4.9,3.6,3.0,1.7,4.2,1.7,3.9,3.0,4.7,3.2,3.6,1.2,1.1,4.4,4.8,3.7,4.1,2.6,4.4,1.9,3.8
67,30.905,30.0259,2.5,3.5,3.7,3.5,2.9,3.0,1.0,3.2,1.0,3.1,2.1,4.9,1.1,4.3,3.7,4.2,4.6,1.4,1.4,1.6,1.8,3.1,4.3,2.1,2.6,2.5,2.6,3.3,5.0,1.9
68,31.2762,30.0772,3.6,4.4,4.0,1.4,2.5,3.2,1.2,1.0,1.7,3.0,2.7,4.1,3.3,4.4,1.4,3.1,1.2,1.8,4.5,4.6,2.9,1.2,1.3,4.7,4.6,3.3,1.1,4.7,2.3,4.8
69,31.2229,30.0628,3.9,2.6,1.3,1.6,2.0,4.3,2.6,4.6,2.3,4.0,1.6,5.0,3.9,3.0,4.9,1.2,2.7,4.4,2.4,4.1,4.8,2.6,4.1,1.1,2.1,5.0,3.0,2.4,4.8,2.7
70,31.2738,30.0491,1.3,3.5,4.2,3.9,1.3,1.6,3.8,3.5,4.0,2.3,1.4,1.0,2.2,2.4,2.1,1.5,1.7,2.8,3.2,2.6,1.1,2.4,1.4,3.4,2.3,2.5,2.2,2.6,1.3,4.6
71,31.3979,30.0967,3.3,1.7,2.5,1.6,2.2,3.0,1.3,2.7,2.7,2.9,1.3,2.0,2.0,3.5,3.4,1.8,1.4,2.2,4.8,2.3,3.5,4.2,2.3,2.3,4.3,4.4,4.9,1.5,2.3,4.8
72,31.0105,29.9971,4.9,4.9,2.2,3.8,3.0,3.3,2.0,2.5,4.3,2.6,1.5,3.3,3.4,3.2,3.7,3.2,4.8,2.8,3.8,2.8,2.2,3.8,4.3,4.2,2.6,3.0,3.5,2.0,3.6,3.9
73,31.334,29.9611,5.0,2.9,2.6,3.0,4.7,3.8,3.2,4.2,2.4,4.6,3.1,3.6,1.3,4.1,3.6,2.4,3.6,1.2,4.9,3.7,2.6,4.0,4.9,2.7,1.0,2.0,3.0,3.1,3.3,3.3
74,31.1452,30.0087,4.1,3.4,3.0,2.4,1.1,1.4,2.7,4.8,1.5,4.8,1.6,2.2,2.8,1.8,2.9,2.9,2.8,3.8,2.3,2.2,4.2,1.5,4.4,3.6,3.7,1.7,4.9,2.0,1.7,1.6
75,31.2079,30.0938,1.9,2.6,1.7,3.6,2.7,1.1,3.5,1.8,3.4,2.6,3.8,1.8,4.0,4.2,1.3,1.4,4.5,1.7,2.3,2.8,2.0,4.5,3.1,3.6,3.4,3.4,3.3,2.4,4.4,3.5
76,31.3476,30.0559,2.2,3.5,1.3,1.5,1.5,2.2,1.7,3.8,3.0,2.7,1.6,2.5,1.7,3.5,3.8,3.6,5.0,3.2,3.0,1.6,2.3,2.8,1.2,2.4,1.0,1.5,4.3,4.9,3.0,3.0
77,31.2766,30.0123,4.4,3.0,1.3,1.1,4.0,2.2,2.1,3.2,1.7,2.8,4.0,4.1,3.2,1.5,1.5,4.1,4.3,2.5,4.3,1.2,3.9,3.2,5.0,1.4,4.3,4.0,2.2,5.0,2.8,2.4
78,31.3492,30.0159,5.0,4.1,1.9,4.2,3.4,2.4,3.8,3.5,1.7,1.6,1.8,1.8,1.2,2.4,2.1,3.2,2.3,3.8,2.2,2.1,4.4,4.9,3.7,1.4,4.9,4.1,4.7,5.0,4.5,1.5
79,31.3763,29.9875,3.8,4.3,4.0,3.7,3.0,3.3,2.1,2.7,2.8,3.5,4.5,1.4,3.1,2.1,4.7,2.5,4.8,2.3,1.0,4.1,3.9,3.9,2.8,3.7,2.4,1.3,3.1,1.9,2.7,1.8
80,31.0477,30.0743,2.4,3.3,3.3,2.9,2.4,3.7,1.2,1.4,4.1,2.8,1.5,4.4,2.8,1.0,4.8,1.8,3.8,1.5,3.6,1.6,4.7,2.1,3.6,2.0,2.5,4.6,1.7,2.6,2.2,3.8
81,31.0288,30.0483,3.8,1.0,2.9,1.5,1.9,3.7,1.0,3.8,4.3,5.0,2.7,1.5,1.3,2.5,3.9,1.4,2.3,4.5,1.5,4.1,4.0,1.5,5.0,1.6,3.1,1.0,3.6,2.8,3.9,3.5
82,30.9833,30.0118,3.7,4.4,1.3,1.4,4.0,3.4,2.5,4.9,2.3,1.6,2.1,1.3,3.2,3.4,3.4,4.1,3.8,4.4,3.6,2.2,3.1,3.0,4.0,2.2,1.2,4.6,4.8,3.0,1.5,3.0
83,31.2267,30.0292,4.9,4.9,4.7,1.5,4.4,3.3,2.5,3.7,4.1,4.8,4.1,1.1,1.3,2.0,1.2,1.2,4.2,3.0,3.5,3.0,2.7,3.8,1.3,3.1,3.5,2.1,2.2,3.0,1.8,4.2
84,31.195,30.0086,3.5,4.3,3.7,1.3,3.8,3.9,4.4,1.2,1.3,2.7,2.8,3.4,2.2,4.0,4.0,1.5,3.8,3.8,1.7,4.8,3.1,4.1,3.9,1.7,1.5,4.1,2.1,4.5,4.1,1.1
85,31.3439,29.9908,1.3,3.8,3.3,1.3,2.8,2.4,3.0,3.3,2.5,2.0,1.4,3.3,3.9,1.9,3.0,1.2,4.5,2.0,2.9,2.5,1.6,4.7,4.4,3.2,4.7,4.0,2.7,2.3,2.7,3.9
86,31.0492,29.9617,2.5,3.0,4.6,1.7,4.2,4.9,4.8,1.3,2.9,2.1,4.4,2.3,3.2,1.0,1.8,3.3,2.2,3.5,2.9,3.4,3.0,4.1,1.8,4.6,4.0,2.0,1.0,2.6,1.9,2.4
87,31.3618,30.0816,4.8,1.0,3.6,4.4,3.9,1.4,3.1,2.0,3.0,1.2,5.0,3.8,1.4,4.7,4.6,3.1,3.8,2.5,4.9,1.3,1.4,1.5,4.3,1.3,3.3,2.7,4.9,1.9,2.0,2.3
88,31.3404,30.0551,3.9,2.3,2.1,1.3,1.8,4.1,3.3,1.6,1.7,2.9,2.6,3.1,4.9,1.8,2.2,2.1,1.5,1.6,3.7,4.3,3.8,1.2,4.3,2.3,1.4,2.0,2.4,3.1,3.7,2.0
89,31.4449,29.9547,2.6,2.8,4.0,2.0,2.8,4.2,1.6,1.0,4.3,4.9,1.5,4.3,2.5,3.5,3.6,3.3,2.0,4.3,1.1,1.3,4.6,2.8,1.5,4.6,4.3,2.3,1.2,2.8,1.7,3.3
90,31.3519,30.0092,1.1,3.7,1.7,1.9,1.7,2.1,4.5,1.1,3.5,2.0,2.2,2.6,3.2,1.2,2.1,1.5,1.8,4.5,3.1,3.5,4.2,4.2,5.0,4.1,2.4,3.2,2.9,4.7,3.0,2.6
91,30.9989,29.9978,1.9,4.6,4.1,1.2,5.0,3.1,4.1,5.0,4.9,1.4,3.6,2.1,4.3,4.7,1.2,5.0,1.9,4.4,4.2,2.4,4.4,4.4,1.7,3.4,4.2,3.8,4.7,1.1,3.8,4.8
92,31.21,30.0345,1.8,5.0,4.5,3.0,2.2,3.0,1.4,1.9,1.9,3.1,1.0,4.7,1.8,1.5,3.9,4.7,4.4,2.3,1.1,3.3,4.7,4.1,4.4,4.4,4.8,2.5,4.8,2.6,1.4,2.2
93,30.975,29.9736,4.8,4.2,4.8,3.6,1.7,4.9,3.8,4.7,4.1,1.9,3.4,1.7,2.2,3.8,1.5,3.9,4.8,4.8,2.6,5.0,4.9,1.1,3.4,4.7,4.9,1.9,3.3,4.7,1.6,4.0
94,31.0309,30.0974,1.7,4.5,1.4,3.8,3.6,4.5,2.8,2.1,2.0,1.3,2.0,1.4,1.0,2.5,3.9,4.9,4.5,3.0,2.5,3.2,1.4,2.9,4.5,3.6,3.7,1.7,1.3,4.4,2.2,2.3
95,31.4234,29.9611,1.7,2.5,3.9,3.2,4.6,1.4,3.4,3.5,2.9,1.1,4.8,1.7,4.6,1.6,1.4,1.8,1.8,3.8,3.9,3.9,2.1,2.1,2.0,1.2,3.3,4.4,1.6,2.4,2.7,2.2
96,31.2641,30.04,1.8,1.1,1.7,2.2,1.3,4.4,2.2,2.6,3.0,3.6,1.4,3.2,1.7,4.5,2.5,2.8,2.1,2.9,1.9,2.1,1.2,4.0,3.7,1.3,2.4,3.2,4.9,3.4,3.2,4.4
97,31.3501,30.0128,3.1,4.5,2.9,4.5,2.9,1.3,4.6,3.9,3.0,4.6,4.2,3.7,3.5,1.5,4.0,1.7,4.9,4.9,4.2,1.5,2.7,5.0,2.7,5.0,3.5,4.3,2.0,4.6,4.7,1.3
98,31.1135,30.0096,2.3,2.1,2.8,4.5,4.1,3.5,3.1,2.7,2.7,1.6,3.4,4.0,4.8,4.7,3.3,1.4,2.1,3.1,2.4,2.6,2.5,2.9,3.4,1.1,2.1,1.6,3.4,3.8,1.2,4.6
99,31.0823,29.9856,4.0,4.7,4.6,1.1,4.3,2.2,2.1,3.0,3.8,1.4,4.5,1.5,4.9,2.8,4.3,2.1,2.7,3.6,1.8,1.8,4.3,4.0,4.0,4.5,4.3,3.1,1.6,2.2,3.0,1.5
100,31.3682,30.0819,1.1,1.8,4.3,4.3,2.0,2.8,4.7,3.8,2.1,4.3,3.0,3.5,1.5,1.1,2.5,3.4,1.7,4.5,3.3,2.4,1.7,4.6,4.0,3.8,2.1,2.5,1.7,3.3,4.9,4.4
101,31.2561,30.0517,2.1,2.6,1.1,4.1,4.1,1.0,4.6,3.6,3.4,1.0,2.0,4.2,2.2,4.9,3.6,2.7,2.5,2.4,2.0,2.9,3.7,4.3,2.6,1.4,3.0,3.6,4.4,2.5,3.6,3.4
102,31.0642,29.9662,1.3,5.0,3.6,4.4,2.0,3.8,4.6,2.2,1.6,4.1,4.6,4.2,4.2,3.4,3.6,3.7,3.9,3.6,5.0,2.0,2.7,2.6,1.1,3.8,3.3,1.8,3.9,1.9,3.1,4.1
